Chunk Size,Overlap Size,Avg ECS,Avg TF-IDF Overlap
300,100,0.7545,0.25450000000000006
300,150,0.7545,0.29350000000000004
300,200,0.7545,0.32550000000000007
300,250,0.7545,0.34
400,100,0.735,0.238
400,150,0.735,0.24099999999999996
400,200,0.735,0.252
400,250,0.735,0.29
500,100,0.7384999999999999,0.22899999999999995
500,150,0.7384999999999999,0.22499999999999995
500,200,0.7384999999999999,0.238
500,250,0.7384999999999999,0.24
600,100,0.7505,0.22249999999999998
600,150,0.7505,0.22649999999999998
600,200,0.7505,0.2385
600,250,0.7505,0.23099999999999996
